"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"IFI27",9.65361701991426e-11,6.00086675193611,0.75,0.043,2.86075286768139e-06,"IFI27"
"HNMT",2.29141967988749e-10,4.35143761141939,0.812,0.13,6.79039307937858e-06,"HNMT"
"SPP1",2.69816161244651e-10,5.01574245912028,0.812,0.109,7.995732122324e-06,"SPP1"
"MMP14",1.20747453274302e-09,4.39777280464124,0.656,0.022,3.57823003033067e-05,"MMP14"
"CCL2",1.41599032828237e-09,5.90117547484894,0.656,0.022,4.19614573883199e-05,"CCL2"
"CXCL8",3.05711244382863e-09,3.47567494402128,0.844,0.174,9.05944701604176e-05,"CXCL8"
"ADM",3.92650925031644e-09,5.60296851400525,0.594,0,0.000116358175123877,"ADM"
"EPCAM",3.92650925031644e-09,5.64873640404893,0.594,0,0.000116358175123877,"EPCAM"
"RNASE1",3.92650925031644e-09,5.990093880975,0.594,0,0.000116358175123877,"RNASE1"
"S100A16",3.92650925031644e-09,5.73411827992626,0.594,0,0.000116358175123877,"S100A16"
"NUPR1",4.49063668460116e-09,3.27701443850852,0.844,0.152,0.000133075527511471,"NUPR1"
"GLUL",5.24486909699839e-09,3.03727458941513,0.875,0.413,0.00015542645082045,"GLUL"
"IER3",8.22682153868795e-09,3.17872085848503,0.906,0.348,0.000243793629477479,"IER3"
"C15orf48",9.40431157779031e-09,4.85732511859619,0.656,0.065,0.000278687369296238,"C15orf48"
"KRT19",1.26710345369869e-08,6.26494985950574,0.562,0,0.000375493437469069,"KRT19"
"TREM1",1.26710345369869e-08,5.63660528375375,0.562,0,0.000375493437469069,"TREM1"
"WFDC2",1.26710345369869e-08,6.26852382130886,0.562,0,0.000375493437469069,"WFDC2"
"CD14",1.29509306640158e-08,4.34569339776145,0.719,0.13,0.000383787879297445,"CD14"
"DRAM1",1.53661250148841e-08,3.76457674487795,0.719,0.109,0.000455359748691075,"DRAM1"
"PLAU",1.68356694049789e-08,4.31724301992456,0.656,0.065,0.000498908227147144,"PLAU"
"TYMP",1.7473899898054e-08,2.26123089636529,0.938,0.565,0.000517821549578932,"TYMP"
"CXCL2",1.79566271152791e-08,4.61818189149178,0.688,0.109,0.000532126687934182,"CXCL2"
"SPRED1",1.85610911110451e-08,4.6912601284933,0.625,0.043,0.000550039373984711,"SPRED1"
"PTMS",2.34425143624761e-08,2.80480589384068,0.938,0.304,0.000694695470617615,"PTMS"
"ADAM9",2.41086737552182e-08,4.29392119438592,0.656,0.065,0.000714436438062137,"ADAM9"
"MGST1",2.49369904901012e-08,5.24108925734376,0.625,0.043,0.000738982776183659,"MGST1"
"C1QC",2.49932344258183e-08,3.47330028553757,0.75,0.13,0.000740649508974699,"C1QC"
"RAB13",2.83994650806291e-08,3.22512352404812,0.781,0.196,0.000841589748199362,"RAB13"
"TGM2",3.10668928742875e-08,4.50425471950692,0.625,0.043,0.000920636303436634,"TGM2"
"IFITM3",3.65230258309544e-08,2.26757654456916,0.906,0.587,0.0010823233474745,"IFITM3"
"PLTP",3.88317706396165e-08,4.68837890309074,0.594,0.043,0.00115074069113439,"PLTP"
